0D094C	XA-VAQ
0D0961	5213
0D0971	3526
0D0984	XA-VLM
0D0993	XA-VLN
0D0997	XA-VLO
0D099A	XA-VAR
0D099D	XA-NBA
0D099E	XA-VLP
0D09A3	XA-VLQ
0D09A5	XA-ALL
0D09B6	XA-LPZ
0D09B9	XA-ALP
0D09BD	XA-VLS
0D09BE	XA-VLT
0D09BF	XA-VLR
0D09C0	XA-EFH
0D09C2	XA-VAT
0D09C7	XA-VAZ
0D09CE	XA-VAU
0D09D3	XA-UXR
0D09D4	XA-COS
0D09D5	XA-VLU
0D09DC	XA-CRM
0D09E5	XA-ADC
0D09E7	3527
0D09EA	XA-RBG
0D09EC	XA-ADD
0D09EF	XA-VIV
0D09F8	XA-MBA
0D09FA	XA-JPB
0D09FC	XA-AJB
0D09FD	XA-GEO
0D0A02	XA-VLV
0D0A04	XA-VLW
0D0A0D	XA-VRB
0D0A13	3528
0D0A16	XA-VIT
0D0A19	XA-VLY
0D0A26	XA-VRA
0D0A29	XA-JRM
0D0A3B	XA-AMZ
0D0A42	XA-UYT
0D0A46	XA-RBI
0D0A60	XA-APO
0D0A61	XA-APA
0D0A66	XA-UYY
0D0A77	XA-VAW
0D0A80	XA-UZE
0D0A84	XA-UNO
0D0A85	XA-FUN
0D0A8D	XA-ADU
0D0A99	XA-ZEN
0D0A9A	XA-ADG
0D0A9B	XA-ADH
0D0AA7	XA-PAT
0D0AAB	XA-VAB
0D0AB4	XA-NEO
0D0AB7	XA-MAP
0D0ABB	XA-JOE
0D0ABD	XA-MAG
0D0ABF	XA-VRD
0D0AC1	XA-AEM
0D0AC9	XA-UZT
0D0ACA	XA-VAX
0D0ACB	XA-UZS
0D0ACD	XA-MAK
0D0AD2	XA-JIL
0D0ADC	XA-VMM
0D0ADD	XA-RLM
0D0AEF	XA-MAL
0D0AF0	XA-UUL
0D0B0D	XA-VIF
0D0B0F	XA-AEP
0D0B10	XA-VRE
0D0B16	XA-VIL
0D0B18	XA-DBR
0D80DC	YV1776
0D8169	YV2734
0D81C7	YV2964
